day,channel,region,device_type,audience_segment,campaign_objective,impressions,clicks,ctr_pct,spend_usd,conversions,conversion_rate_pct,bounce_rate_pct,session_duration_sec,audience_age,ad_quality_score,revenue_usd,performance_tier_index,engagement_score
Friday,Email,North,Mobile,Boomers,Traffic,53770,2310,4.3,653.46,195,8.44,51,174,29,8.74,15193.08,3,7.475172029
Thursday,Video,South,Mobile,Gen X,Sales,90909,3200,3.52,3939.89,223,6.97,44.06,207,29,5.12,20184.61,2,7.286407286
Sunday,Display,South,CTV,Gen X,Leads,193916,1180,0.61,765.06,35,2.97,67.26,319,34,6.56,3222.12,2,1.941149776
Thursday,Video,East,CTV,Gen X,Awareness,151753,0,0,30.96,0,0,82.86,161,50,5.91,412.46,3,0
Wednesday,Affiliate,North,Mobile,Gen Z,Traffic,88412,1028,1.16,1303.73,36,3.5,59.58,238,48,6.15,1472.5,1,2.767316654
Sunday,Social,North,Desktop,Millennials,Traffic,120554,3914,3.25,1539.75,6,0.15,28.51,237,26,10,509.19,0,7.694626474
Tuesday,Video,North,Desktop,Boomers,Leads,191021,3644,1.91,5952.83,164,4.5,52.09,175,31,6.93,19079.51,2,3.338376409
Sunday,Search,Central,Mobile,Gen X,App Installs,105017,4460,4.25,2133.445,296,6.64,38.16,256,28,6.52,34623.37,3,10.87214451
Thursday,Affiliate,West,CTV,Millennials,Awareness,106085,1462,1.38,1029.35,75,5.13,48.64,124,41,6.5,7008.06,2,1.708893812
Friday,Email,South,Mobile,Gen X,App Installs,78516,1420,1.81,748.89,141,9.93,61.76,102,32,7.23,5292.21,2,1.844719548
Saturday,Video,East,Mobile,Gen X,Awareness,182883,4739,2.59,7087.4,174,3.67,43.71,199,54,9.29,13474.92,1,5.156635663
Saturday,Affiliate,West,Desktop,Boomers,Traffic,79897,1001,1.25,852.32,43,4.3,69.99,111,18,7.58,4234.6,2,1.390677998
Wednesday,Video,Central,Tablet,Gen X,Traffic,190777,5535,2.9,7232.71,657,11.87,49.29,113,22,6.71,41369.43,2,3.27846124
Thursday,Search,East,CTV,Millennials,Sales,130532,8352,6.4,10752.22,209,2.5,56.01,190,43,4.63,22296.66,1,12.15701897
Thursday,Email,Central,CTV,Gen X,Awareness,62607,1663,2.66,603.02,21,1.26,47.4,251,35,6.26,2003.27,2,6.667193764
Sunday,Display,East,Tablet,Gen X,App Installs,186394,1554,0.83,806.27,58,3.73,78.63,88,33,8.38,6179.66,2,0.733671685
Saturday,Affiliate,East,Mobile,Millennials,Awareness,55456,1752,3.16,1374.97,25,1.43,60.65,16,28,5.1,2031.4,1,0.505481823
Thursday,Social,West,CTV,Millennials,Sales,96601,2597,2.69,3694.39,111,4.27,53.67,250,35,10,9638.02,1,6.720944918
Thursday,Affiliate,West,CTV,Gen Z,Awareness,87150,1801,2.07,1427.86,75,4.16,62.45,139,30,8.76,7035.89,2,2.872507172
Thursday,Display,South,CTV,Millennials,Leads,179267,2277,1.27,2133.68,2,0.09,44.99,108,38,7.84,297.27,0,1.371786218
Monday,Affiliate,Central,Tablet,Boomers,App Installs,102842,2216,2.15,2397.4,23,1.04,56.38,213,34,9.94,2468.86,1,4.589642364
Thursday,Email,East,CTV,Gen X,Leads,68191,2876,4.22,1629.06,166,5.77,53.14,138,22,9.95,14384.05,2,5.820240208
Thursday,Affiliate,West,Tablet,Gen X,Leads,88663,536,0.6,410.43,19,3.54,19.96,348,44,8.58,1704.57,2,2.103786247
Monday,Social,North,Desktop,Gen X,Awareness,109123,3619,3.32,4965.22,259,7.16,54.88,277,36,6.64,28509.29,2,9.186541792
Friday,Affiliate,Central,Desktop,Millennials,Traffic,54129,826,1.53,1022.22,48,5.81,42.38,185,25,8.2,5341.82,2,2.823070812
Thursday,Affiliate,West,Tablet,Gen X,Awareness,73899,1611,2.18,1453.28,47,2.92,63.77,263,40,8.01,4691.85,2,5.733406406
Saturday,Social,East,Desktop,Gen X,Traffic,100067,2034,2.03,2187.05,42,2.06,65.09,122,47,6.77,4222.26,1,2.479818522
Friday,Display,North,Desktop,Gen X,Awareness,186884,2393,1.28,1249.33,68,2.84,58.09,238,39,6.72,9514.14,2,3.047526808
Sunday,Search,Central,Tablet,Millennials,Sales,124570,2453,3.75,6253.85,244,5.22,35.15,140,19,5.55,26187.8,2,2.756843542
Monday,Video,East,Desktop,Gen Z,Leads,146491,4350,2.97,8202.27,283,6.51,45.78,123,18,6.75,25268.9,2,3.652442812
Thursday,Video,North,Mobile,Boomers,Sales,152507,5427,3.56,7743.89,300,5.53,50.13,5,30,7.03,14626.05,1,0.177926259
Wednesday,Search,Central,Mobile,Millennials,Traffic,126305,5566,4.41,10294.26,527,9.47,67.59,155,29,8.01,30207.15,1,6.830529274
Sunday,Email,East,Mobile,Millennials,Awareness,62489,2078,3.33,569.65,259,12.46,74.2,177,41,6.05,23849,3,5.885931924
Saturday,Email,West,Desktop,Boomers,Sales,12501,545,4.36,209.4,20,3.67,82.27,172,32,8.58,1374.5,2,7.498600112
Friday,Video,East,CTV,Gen X,App Installs,210424,7265,3.45,7516.15,277,3.81,41.12,234,47,5.76,27530.91,2,8.078973881
Friday,Email,North,Mobile,Millennials,Traffic,60915,2429,3.99,689.03,102,4.2,50.45,61,35,6.74,12913.01,3,2.432389395
Wednesday,Display,North,Desktop,Millennials,Traffic,238812,3057,1.28,1642.84,90,2.94,64.97,214,36,7.09,8326.85,2,2.739384956
Sunday,Email,North,Desktop,Gen Z,Sales,67496,2534,3.75,2133.445,279,11.01,28.44,159,32,6.85,20232.17,2,5.969331516
Saturday,Video,Central,CTV,Gen X,Awareness,229459,6685,2.91,14948.03,183,2.74,54.73,217,26,6.93,11838.84,0,6.322022671
Tuesday,Social,East,Tablet,Boomers,Awareness,108164,2174,2.01,2366.56,63,2.9,54.44,162,38,7.82,4447.7,1,3.256055619
Tuesday,Affiliate,South,Tablet,Millennials,Sales,87601,1602,1.83,1933.96,39,2.43,48.69,178,39,8.58,3930.81,1,3.25516832
Monday,Search,Central,Desktop,Millennials,Leads,135830,6808,5.01,9194.57,220,3.23,95,72,46,10,16983.8,1,3.608746227
Thursday,Social,North,Mobile,Millennials,Leads,127383,1345,1.06,1562.93,86,6.39,39.03,138,27,4.81,8877.98,2,1.457101811
Wednesday,Email,Central,Tablet,Boomers,Awareness,61878,1668,2.7,871.94,72,4.32,30.23,159,48,5.12,7040.6,2,4.286046737
Wednesday,Email,West,CTV,Gen Z,App Installs,56768,2679,4.72,1897.08,71,2.65,39,198,37,8.49,6078.61,2,9.344031849
Sunday,Search,West,Tablet,Gen X,Awareness,146657,8068,5.5,11414.42,146,1.81,58.93,207,25,6.62,10655.8,0,11.38763237
Wednesday,Search,South,Mobile,Gen X,App Installs,104045,6579,6.32,7604.33,318,4.83,59.13,151,30,5.61,30091.84,2,9.548070546
Tuesday,Search,South,CTV,Boomers,Leads,72270,3700,5.12,8904.1,279,7.54,65.86,134,36,8.01,20138.69,1,6.860384669
Monday,Social,Central,CTV,Boomers,Awareness,75495,1802,2.39,2691.7,86,4.77,15.47,168,39,6.4,8100.52,2,4.010013908
Tuesday,Video,East,CTV,Gen X,Leads,131695,3443,2.61,5959.1,215,6.24,42.1,201,45,7.63,20761.79,2,5.254891985
Sunday,Affiliate,North,Desktop,Gen X,Sales,95978,2226,2.32,2650.1,79,3.55,58.39,149,35,4.98,7944.37,1,3.455729438
Friday,Affiliate,West,Tablet,Boomers,App Installs,63935,883,1.38,332.85,27,3.06,49.73,117,30,8.4,3321.78,2,1.615875499
Saturday,Display,North,CTV,Gen Z,App Installs,106152,698,0.66,380.63,0,0,36.94,172,36,7.1,53.05,0,1.130981988
Thursday,Video,West,Mobile,Millennials,App Installs,171745,3856,2.25,9500.54,118,3.06,27.17,288,49,8.28,14738.16,1,6.466144575
Saturday,Display,Central,CTV,Boomers,Awareness,171403,1583,0.92,1560.14,103,6.51,48.16,140,35,4.56,8621.59,2,1.292976202
Saturday,Social,East,Desktop,Gen X,Sales,115347,3171,2.75,5319.69,137,4.32,55.91,177,46,2.77,14229.49,1,4.865900283
Tuesday,Affiliate,West,Mobile,Gen Z,App Installs,105265,1278,1.21,210.73,0,0,71.12,206,38,6.5,0,0,2.501002232
Thursday,Social,South,Tablet,Gen Z,App Installs,104549,3799,3.63,4499.33,163,4.29,54.31,205,21,4.42,15258.94,2,7.449090857
Tuesday,Search,South,CTV,Gen X,App Installs,82008,4161,5.07,6802.23,113,2.72,47.82,143,34,8.19,10736.83,1,7.255670179
Saturday,Affiliate,East,CTV,Boomers,Sales,138609,706,0.51,491.48,101,5.52,61.1,76,42,9.17,2206.68,2,0.387103291
Wednesday,Social,West,Desktop,Boomers,Traffic,122728,4263,3.47,4251.11,0,0,17.18,96,29,5.85,0,0,3.334593573
Tuesday,Email,Central,Desktop,Gen Z,Leads,62017,3264,5.26,1548.18,193,5.91,29.09,74,30,7.9,15522.25,3,3.894674041
Sunday,Video,East,Tablet,Gen Z,Leads,164453,4779,2.91,10410.31,277,5.8,74.35,128,44,6.07,16863.06,1,3.719676747
Tuesday,Affiliate,East,CTV,Millennials,Sales,63638,1064,1.67,933.16,17,1.6,61.77,211,46,6.65,1026.67,1,3.527829284
Thursday,Email,West,Tablet,Gen X,App Installs,46230,2727,5.9,678.32,305,11.18,57.42,180,33,3.87,24428.45,3,10.61778066
Wednesday,Email,West,CTV,Gen X,Traffic,53488,2775,5.19,734.3,118,4.25,50.69,199,46,7.7,11104.24,3,10.32427834
Friday,Affiliate,South,CTV,Millennials,Sales,77210,336,0.44,229.13,9,2.68,42.93,27,44,8.35,1247.3,2,0.117497733
Monday,Search,East,CTV,Boomers,Sales,166154,6144,3.7,7949.88,118,1.92,56.57,227,23,8.16,8119.03,1,8.393947783
Monday,Affiliate,South,CTV,Gen Z,Traffic,86935,2001,2.3,2188.06,106,5.3,79.97,226,35,6.86,5488.28,1,5.201886467
Tuesday,Email,Central,Tablet,Gen Z,Sales,37403,1484,3.97,713.4,150,10.11,76.14,97,42,7.36,5309.47,2,3.848568297
Wednesday,Search,Central,CTV,Gen Z,Traffic,151363,5780,3.82,10383.27,294,5.09,60.96,103,28,7.69,15195.99,1,3.933193713
Thursday,Video,South,Mobile,Boomers,Leads,232068,7694,3.32,15700.61,279,3.63,59.37,127,22,7.1,15447.88,0,4.210567592
Sunday,Display,Central,CTV,Gen Z,Leads,122751,1106,0.9,764.94,51,4.61,88.74,89,34,5.39,2767.54,2,0.801899781
Thursday,Affiliate,Central,CTV,Gen X,Sales,58766,1427,2.43,1691.85,128,8.97,56.96,258,43,9.63,16392.43,2,6.26494912
Sunday,Email,North,Mobile,Millennials,Leads,34812,1420,4.08,718.78,28,1.97,81.31,129,38,5.41,4005.94,2,5.261978628
Sunday,Social,North,CTV,Gen Z,Awareness,135384,3092,2.28,4840.79,250,8.09,32.98,274,34,6.31,22985.59,2,6.257814808
Saturday,Video,South,Tablet,Gen Z,Awareness,185935,3029,1.63,5063.68,67,2.21,39.89,151,24,8.4,6232.2,1,2.459886519
Monday,Display,North,Tablet,Gen X,Leads,197671,2075,1.05,2381.27,34,1.64,47.23,201,41,5.47,4693.88,1,2.109945313
Thursday,Video,South,Desktop,Boomers,App Installs,191159,2453,2.33,6226.57,135,3.04,48.16,145,29,6.91,13355.47,1,1.860676191
Friday,Affiliate,South,Desktop,Millennials,Awareness,57324,1330,2.32,668.22,65,4.89,33.74,117,28,8.51,5683.9,2,2.714569814
Tuesday,Email,West,Desktop,Boomers,App Installs,52911,1335,2.52,733.51,67,5.02,45.79,208,18,8.84,5568.87,2,5.24805806
Friday,Social,South,CTV,Gen X,Sales,146328,2728,1.86,3670.92,177,6.49,55.63,117,29,9.54,19149.42,2,2.181236674
Friday,Display,North,CTV,Gen X,App Installs,182971,2502,1.37,2290.64,55,2.2,41.95,135,49,6.67,4981.68,1,1.846030245
Saturday,Social,North,CTV,Gen X,App Installs,108368,2271,2.1,2907.55,47,2.07,69.93,166,44,5.73,4607.33,1,3.478757567
Tuesday,Display,West,Tablet,Boomers,Leads,113262,2444,2.16,2396.51,31,1.27,32.21,123,35,7.58,1153.52,0,2.654129364
Saturday,Social,West,CTV,Gen Z,Traffic,79396,1099,1.38,1190.34,0,0,58.87,5,25,6.25,416.5,0,0.069210036
Wednesday,Video,Central,Tablet,Gen X,Leads,187305,4178,2.23,2133.445,208,4.98,30.62,208,52,5.83,21156.78,2,4.639619871
Saturday,Search,West,Tablet,Gen Z,App Installs,136229,5654,4.15,9440.95,230,4.07,42.78,179,18,6.33,23550.5,1,7.429152383
Thursday,Affiliate,North,CTV,Gen X,Traffic,107385,2156,2.01,1461.62,97,4.5,53.38,175,32,6.83,9239.11,2,3.513526098
Sunday,Email,East,Desktop,Millennials,App Installs,65964,2826,4.28,407,207,7.32,32.81,153,42,5.8,12975.17,3,6.55475714
Sunday,Display,South,Mobile,Gen Z,Leads,172379,888,0.52,584.53,7,0.79,70.09,206,39,7.7,576.5,0,1.061196549
Monday,Video,North,Tablet,Millennials,Awareness,182733,6281,3.44,13013.42,207,3.3,45.46,168,49,7.92,18843.7,1,5.774589155
Sunday,Display,East,CTV,Millennials,Traffic,248506,1623,0.65,1576.34,0,0,53.84,99,36,6.58,255.65,0,0.646571914
Friday,Social,Central,Tablet,Gen X,Traffic,141721,3708,2.62,1898.9,146,3.94,48.27,74,45,7.66,13185.97,2,1.936142138
Wednesday,Display,West,Tablet,Gen X,Awareness,171511,717,0.42,608.67,19,2.65,23.38,108,34,6.38,2678.62,2,0.451492907
